ASPECT	VALUE	TYPE	SUPERCLASS	DOLCE
CONTENT#TOPIC	Memory	subject	Abstract	Abstract
CONTENT#TOPIC	Men in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Mental Depression	subject	Event	Event
CONTENT#TOPIC	Mental Health	subject	Abstract	Abstract
CONTENT#TOPIC	Mental illness	subject	Event	Event
CONTENT#TOPIC	Mentally ill	subject	Event	Event
CONTENT#TOPIC	Mercenary troops	subject	Abstract	Abstract
CONTENT#TOPIC	Metamorphosis	subject	Event	Event
CONTENT#TOPIC	Metamorphosis in literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Metaphysics	subject	Abstract	Abstract
CONTENT#TOPIC	Meteorology, early works to 1800	subject	Event	Event
CONTENT#TOPIC	Method (philosophical)	subject	Abstract	Abstract
CONTENT#TOPIC	Methodology	subject	Abstract	Abstract
CONTENT#TOPIC	Michael Bennett (Fictional character)	subject	Person	Person
CONTENT#TOPIC	Michael Bennett (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Middle Ages	subject	InformationObject	
CONTENT#TOPIC	Middle Earth (Imaginary place)	subject	Abstract	Abstract
CONTENT#TOPIC	Middle class	subject	Collection	Collection
CONTENT#TOPIC	Middle earth (imaginary place), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Middle east, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Middle schools	subject	InformationObject	
CONTENT#TOPIC	Middle west, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Middle-aged men	subject	InformationObject	
CONTENT#TOPIC	Middle-aged women	subject	InformationObject	
CONTENT#TOPIC	Migration Period	invasion	Event	Event
CONTENT#TOPIC	Military	subject	Organization	Organization
CONTENT#TOPIC	Military History	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	Military art and science	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Military bases	subject	Abstract	Abstract
CONTENT#TOPIC	Military campaigns	subject	Event	Event
CONTENT#TOPIC	Military hospitals	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Military nursing	subject	Quality	Quality
CONTENT#TOPIC	Military occupation	subject	Event	Event
CONTENT#TOPIC	Military occupation in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Military police	subject	Quality	Quality
CONTENT#TOPIC	Military police in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Millionaires in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Milton Friedman	human	Person	Person
CONTENT#TOPIC	Mines and mineral resources	subject	Description	Description
CONTENT#TOPIC	Miniature books	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Missing children	subject	SocialAgent	
CONTENT#TOPIC	Missing in action	subject	Person	Person
CONTENT#TOPIC	Missing persons	subject	Person	Person
CONTENT#TOPIC	Missing persons in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Missing persons investigation	subject	Person	Person
CONTENT#TOPIC	Missing persons, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Missionaries	subject	Person	Person
CONTENT#TOPIC	Missionaries, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Mistaken identity	subject	Event	Event
CONTENT#TOPIC	Mistresses	subject	Person	Person
CONTENT#TOPIC	Models (Persons)	subject	Event	Event
CONTENT#TOPIC	Modern Civilization	subject	Event	Event
CONTENT#TOPIC	Modern Literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Modern Painting	subject	Event	Event
CONTENT#TOPIC	Modern Philosophy	subject	Event	Event
CONTENT#TOPIC	Modern Poetry	subject	Event	Event
CONTENT#TOPIC	Modern fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Modern naval history in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Mohegan Indians	subject	Abstract	Abstract
CONTENT#TOPIC	Molly Bloom (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Monastic and religious life	subject	Situation	Situation
CONTENT#TOPIC	Monasticism and religious orders	subject	Event	Event
CONTENT#TOPIC	Moneylenders	subject	Person	Person
CONTENT#TOPIC	Moneymaking projects	subject	Event	Event
CONTENT#TOPIC	Moneymaking projects in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Monmouth's Rebellion, 1685	subject	Abstract	Abstract
CONTENT#TOPIC	Monsters, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Moody, judy (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Moon in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Moral Ambiguity	subject	Abstract	Abstract
CONTENT#TOPIC	Moral and ethical aspects	subject	Abstract	Abstract
CONTENT#TOPIC	Moral and ethical aspects of Science	subject	Abstract	Abstract
CONTENT#TOPIC	Moral and ethical aspects of Wealth	subject	Situation	Situation
CONTENT#TOPIC	Morgan, jack (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Moriarty, professor (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Mothers	subject	Person	Person
CONTENT#TOPIC	Mothers and daughters	subject	Person	Person
CONTENT#TOPIC	Mothers and daughters, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Mothers and sons	subject	Person	Person
CONTENT#TOPIC	Mothers and sons in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Mothers and sons, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Motion picture industry	subject	Abstract	Abstract
CONTENT#TOPIC	Motion picture plays	subject	Event	Event
CONTENT#TOPIC	Motion pictures	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Motivation (psychology)	subject	Event	Event
CONTENT#TOPIC	Mount Olympus	subject	Abstract	Abstract
CONTENT#TOPIC	Mountain life	subject	Abstract	Abstract
CONTENT#TOPIC	Mountaineering	subject	Person	Person
CONTENT#TOPIC	Movie Tie-in	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Movie novels	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Movie tie-in	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Mowgli (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Multiple personality	subject	Person	Person
CONTENT#TOPIC	Multiple personality in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Mummies in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Murder	subject	Event	Event
CONTENT#TOPIC	Murder - General	subject	Event	Event
CONTENT#TOPIC	Murder victims	subject	Event	Event
CONTENT#TOPIC	Murder victims' families	subject	Organization	Organization
CONTENT#TOPIC	Murderers	subject	Person	Person
CONTENT#TOPIC	Murderers in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Music	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Music in art	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Musicians	subject	Person	Person
CONTENT#TOPIC	Musicians, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Myron Bolitar (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Mystery & Detective	subject	Person	Person
CONTENT#TOPIC	Mystery & Detective fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Mystery and detective stories	subject	Situation	Situation
CONTENT#TOPIC	Mystery fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Mysticism	subject	Abstract	Abstract
CONTENT#TOPIC	Mythical Animals	subject	Organism	Organism
CONTENT#TOPIC	Mythical Creatures	subject	Organism	Organism
CONTENT#TOPIC	Mythology	subject	Collection	Collection
CONTENT#TOPIC	Mythology, Celtic, in literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Mythology, Classical, in art	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Mythology, Greek	subject	Collection	Collection
CONTENT#TOPIC	NEW LIST 20111231	subject	Event	Event
CONTENT#TOPIC	Nannies	subject	Abstract	Abstract
CONTENT#TOPIC	Nantucket island (mass.), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Napoleonic Wars, 1800-1815 in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Narnia (Imaginary place)	subject	Abstract	Abstract
CONTENT#TOPIC	Narragansett Indians	subject	Abstract	Abstract
CONTENT#TOPIC	Narrative poetry	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	National Aeronautics and Space Administration	space agency	Abstract	Abstract
CONTENT#TOPIC	National Book Award Winner	subject	Person	Person
CONTENT#TOPIC	National Book Critics Circle Award Winner	subject	Person	Person
CONTENT#TOPIC	Native races	subject	Collection	Collection
CONTENT#TOPIC	Natty Bumppo (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Natural gas reserves	subject	Event	Event
CONTENT#TOPIC	Natural history	subject	Event	Event
CONTENT#TOPIC	Natural theology	subject	Event	Event
CONTENT#TOPIC	Natural theology -- Early works to 1800	subject	Event	Event
CONTENT#TOPIC	Nature	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Nature (Aesthetics)	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Near and far eastern fiction (fictional works by one author)	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Neighborhoods	subject	Abstract	Abstract
CONTENT#TOPIC	Neighbors	subject	Person	Person
CONTENT#TOPIC	Netherlands in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Netherlands, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Never-Never Land (Imaginary place)	subject	Abstract	Abstract
CONTENT#TOPIC	Never-never land (imaginary place), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	New Age	subject	InformationObject	
CONTENT#TOPIC	New Thought	subject	Event	Event
CONTENT#TOPIC	New York (State) French and Indian War, 1755-1763	subject	Event	Event
CONTENT#TOPIC	New York Times reviewed	subject	Event	Event
CONTENT#TOPIC	New england, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	New hampshire, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	New jersey, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	New mexico, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	New york (state), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	New york (state), history, colonial period, ca. 1600-1775	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	Nigerians	subject	Person	Person
CONTENT#TOPIC	Nihilism (Philosophy)	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Nineteen fifties	subject	SocialAgent	
CONTENT#TOPIC	Nineteen twenties	subject	SocialAgent	
CONTENT#TOPIC	No. 1 Ladies' Detective Agency (Imaginary organization)	subject	InformationObject	
CONTENT#TOPIC	Nobility	subject	Collection	Collection
CONTENT#TOPIC	Noetic Science	subject	Quality	Quality
CONTENT#TOPIC	Non-Classifiable	subject	Event	Event
CONTENT#TOPIC	Non-English Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Non-Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Non-Fiction 9+	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Non-fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Nonfiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Nonfiction - General	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Normans, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	North carolina, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Northwestern states, description and travel	subject	Event	Event
CONTENT#TOPIC	Norwegian Authors	subject	Person	Person
CONTENT#TOPIC	Notebooks, sketchbooks	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Novels	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Nursery rhymes	subject	Event	Event
CONTENT#TOPIC	Nurses	subject	Person	Person
CONTENT#TOPIC	Nursing homes	subject	Event	Event
CONTENT#TOPIC	Obama, barack, 1961-	subject	Person	Person
CONTENT#TOPIC	Obsessive-compulsive disorder	subject	Situation	Situation
CONTENT#TOPIC	Occult fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Occultism	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Ocean liners	subject	Event	Event
CONTENT#TOPIC	Ocean travel	subject	Event	Event
CONTENT#TOPIC	Ocean travel -- Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	October Revolution	revolution	Event	Event
CONTENT#TOPIC	Odysseus (Greek mythology)	subject	Person	Person
CONTENT#TOPIC	Oedipus (Greek mythology)	subject	Person	Person
CONTENT#TOPIC	Oedipus (Greek mythology) in literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Officers	subject	Person	Person
CONTENT#TOPIC	Officials and employees	subject	Person	Person
CONTENT#TOPIC	Ohio, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Older men	subject	Person	Person
CONTENT#TOPIC	Older men in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Older women	subject	Person	Person
CONTENT#TOPIC	Oliver Stone (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	One-act plays, American	subject	Event	Event
CONTENT#TOPIC	One-act plays, English	subject	Event	Event
CONTENT#TOPIC	Open Library Staff Picks	subject	Person	Person
CONTENT#TOPIC	Orchestral music	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Orestes (Greek mythology)	subject	Abstract	Abstract
CONTENT#TOPIC	Organized crime	subject	Event	Event
CONTENT#TOPIC	Organized crime in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Othello (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Other	subject	Quality	Quality
CONTENT#TOPIC	Other prose: classical, early & medieval	subject	Quality	Quality
CONTENT#TOPIC	Ottoman Empire	historical country	Person	Person
CONTENT#TOPIC	Outlaws	subject	Person	Person
CONTENT#TOPIC	Overland journey to the Pacific coast	subject	Event	Event
CONTENT#TOPIC	Overland journeys to the Pacific	subject	Event	Event
CONTENT#TOPIC	Overland journeys to the Pacific. [from old catalog]	subject	Quality	Quality
CONTENT#TOPIC	Oversize books	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Overtures	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Oz (Imaginary place)	subject	Person	Person
CONTENT#TOPIC	Oz (imaginary place), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Pacific Fur Co	subject	Abstract	Abstract
CONTENT#TOPIC	Pacific Fur Company	subject	Organization	Organization
CONTENT#TOPIC	Pageants	subject	InformationObject	
CONTENT#TOPIC	Painters	subject	Person	Person
CONTENT#TOPIC	Painters and paintings	subject	Person	Person
CONTENT#TOPIC	Painting	subject	Event	Event
CONTENT#TOPIC	Pakistan, biography	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Paradise in literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Paranormal fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Paraphrases	subject	Event	Event
CONTENT#TOPIC	Parent and adult child	subject	SocialAgent	
CONTENT#TOPIC	Parent and child	subject	Person	Person
CONTENT#TOPIC	Parent and child, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Parent-child relationship	subject	Person	Person
CONTENT#TOPIC	Parenting	subject	Abstract	Abstract
CONTENT#TOPIC	Parkinson's disease	subject	Situation	Situation
CONTENT#TOPIC	Parties in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Passing (Identity)	subject	Abstract	Abstract
CONTENT#TOPIC	Passivity (Psychology)	subject	Abstract	Abstract
CONTENT#TOPIC	Pastoral fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Pater, walter, 1839-1894	subject	Person	Person
CONTENT#TOPIC	Peace	subject	Description	Description
CONTENT#TOPIC	Pentheus (Greek mythology)	subject	Person	Person
CONTENT#TOPIC	People with disabilities, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	People with visual disabilities, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Perceval (Legendary character)	subject	Person	Person
CONTENT#TOPIC	Perceval (Legendary character) -- Drama	subject	Person	Person
CONTENT#TOPIC	Percy Jackson	subject	Person	Person
CONTENT#TOPIC	Percy Jackson (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Performing Arts	subject	Event	Event
CONTENT#TOPIC	Persecutions	subject	Event	Event
CONTENT#TOPIC	Persian language	subject	InformationObject	
CONTENT#TOPIC	Persian literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Persian poetry	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Personal Finance	subject	Person	Person
CONTENT#TOPIC	Personal narratives	subject	Person	Person
CONTENT#TOPIC	Peter Pan (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Peter Rabbit (Fictitious character)	subject	Abstract	Abstract
CONTENT#TOPIC	Peter pan (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Phantom of the Opera (Fictitious character)	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	Pharmaceutical industry	subject	Organization	Organization
CONTENT#TOPIC	Pharmacists	subject	Abstract	Abstract
CONTENT#TOPIC	Philip Trent (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Philosophers	subject	Abstract	Abstract
CONTENT#TOPIC	Philosophers, greece	subject	Event	Event
CONTENT#TOPIC	Philosophical Novels	subject	InformationObject	InformationObject
CONTENT#TOPIC	Philosophie	subject	Abstract	Abstract
CONTENT#TOPIC	Philosophy	subject	Abstract	Abstract
CONTENT#TOPIC	Philosophy and aesthetics	subject	Abstract	Abstract
CONTENT#TOPIC	Philosophy and esthetics	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Philosophy and ethics	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Philosophy and religion	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Philosophy in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Philosophy of Law	subject	Abstract	Abstract
CONTENT#TOPIC	Philosophy, ancient	subject	Abstract	Abstract
CONTENT#TOPIC	Philosophy, french	subject	Abstract	Abstract
CONTENT#TOPIC	Phoenix (Mythical bird)	subject	Abstract	Abstract
CONTENT#TOPIC	Phonetic transcriptions	subject	Person	Person
CONTENT#TOPIC	Photographers	subject	Person	Person
CONTENT#TOPIC	Physically handicapped, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Physicians	subject	Person	Person
CONTENT#TOPIC	Physicians in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Physicians' spouses	subject	Person	Person
CONTENT#TOPIC	Physicians's spouses	subject	Person	Person
CONTENT#TOPIC	Physicians, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Physicists	subject	Person	Person
CONTENT#TOPIC	Physics	subject	Abstract	Abstract
CONTENT#TOPIC	Piano music (4 hands), Arranged	subject	Event	Event
CONTENT#TOPIC	Pictorial works	subject	Abstract	Abstract
CONTENT#TOPIC	Picture Books	subject	Abstract	Abstract
CONTENT#TOPIC	Picture books	subject	Abstract	Abstract
CONTENT#TOPIC	Picture books for children	subject	SocialAgent	
CONTENT#TOPIC	Pied Piper (Legendary character)	subject	Person	Person
CONTENT#TOPIC	Pied Piper of Hamelin (Legendary character)	subject	Person	Person
CONTENT#TOPIC	Pilgrims and pilgrimages in literature	subject	InformationObject	
CONTENT#TOPIC	Pilots and pilotage	subject	InformationObject	
CONTENT#TOPIC	Pioneers	subject	Abstract	Abstract
CONTENT#TOPIC	Pittman, mrs. (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Plague in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Plague in literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Planets	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Plantation life	subject	Organism	Organism
CONTENT#TOPIC	Plantation owners	subject	Person	Person
CONTENT#TOPIC	Plataea, Battle of, Plataiai, Greece, 479 B.C.	subject	Event	Event
CONTENT#TOPIC	Platonic love	subject	Event	Event
CONTENT#TOPIC	Plays	subject	Person	Person
CONTENT#TOPIC	Plays / Drama	subject	Event	Event
CONTENT#TOPIC	Plum, stephanie (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Plutarch	subject	Person	Person
CONTENT#TOPIC	Poetry	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Poetry & poets: 16th to 18th centuries	subject	Person	Person
CONTENT#TOPIC	Poetry (poetic works by one author)	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Poetry, history and criticism	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Poland -- History -- John II Casimir, 1648-1668 -- Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Polar bears	subject	Abstract	Abstract
CONTENT#TOPIC	Police in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Police, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Polish language materials	subject	InformationObject	
CONTENT#TOPIC	Political and social views	subject	SocialObject	SocialObject
CONTENT#TOPIC	Political corruption	subject	Event	Event
CONTENT#TOPIC	Political ethics	subject	Abstract	Abstract
CONTENT#TOPIC	Political fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Political prisoners	subject	Person	Person
CONTENT#TOPIC	Political rights	subject	Event	Event
CONTENT#TOPIC	Political science	subject	Abstract	Abstract
CONTENT#TOPIC	Political science, early works to 1800	subject	Event	Event
CONTENT#TOPIC	Political sciene	subject	Abstract	Abstract
CONTENT#TOPIC	Political theology	subject	Abstract	Abstract
CONTENT#TOPIC	Politicians	subject	Person	Person
CONTENT#TOPIC	Politics	subject	Description	Description
CONTENT#TOPIC	Politics and government	subject	Description	Description
CONTENT#TOPIC	Politics in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Pollution	subject	Event	Event
CONTENT#TOPIC	Pompeii (extinct city), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Poor	subject	Abstract	Abstract
CONTENT#TOPIC	Poor families	subject	Organization	Organization
CONTENT#TOPIC	Poor families, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Pop-up books	subject	Event	Event
CONTENT#TOPIC	Popular Culture	subject	SocialObject	SocialObject
CONTENT#TOPIC	Popular Print Disabled Books	subject	Person	Person
CONTENT#TOPIC	Portuguese Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Portuguese discoveries	topic	Event	Event
CONTENT#TOPIC	Portuguese fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Poverty -- Psychological aspects	subject	Abstract	Abstract
CONTENT#TOPIC	Practical Geometry	subject	Event	Event
CONTENT#TOPIC	Practice	subject	Event	Event
CONTENT#TOPIC	Prayer-books and devotions	subject	Event	Event
CONTENT#TOPIC	Prayers	subject	Event	Event
CONTENT#TOPIC	Precious Ramotswe (Fictional character)	subject	Person	Person
CONTENT#TOPIC	Precious Ramotswe (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Pregnancy, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Pregnant women	subject	Person	Person
CONTENT#TOPIC	Prehistoric peoples	subject	Person	Person
CONTENT#TOPIC	Preparatory schools	subject	Organization	Organization
CONTENT#TOPIC	Presbyterian Church	subject	Abstract	Abstract
CONTENT#TOPIC	Presbyterian Church in the U.S.	subject	Abstract	Abstract
CONTENT#TOPIC	Presidential candidates	subject	Person	Person
CONTENT#TOPIC	Presidents' spouses, united states	subject	Person	Person
CONTENT#TOPIC	Prince	subject	Person	Person
CONTENT#TOPIC	Prince Edward Island in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Prince edward island, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Princes and princesses	subject	Abstract	Abstract
CONTENT#TOPIC	Princes in literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Princess Ozma (Fictitious character)	subject	Abstract	Abstract
CONTENT#TOPIC	Princesses in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Princesses, great britain	subject	Person	Person
CONTENT#TOPIC	Printers	subject	Person	Person
CONTENT#TOPIC	Printing	subject	Event	Event
CONTENT#TOPIC	Printing and writing systems	subject	Event	Event
CONTENT#TOPIC	Priory of Sion	subject	Abstract	Abstract
CONTENT#TOPIC	Prison Life in Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Prisoners in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Prisoners of war	subject	Person	Person
CONTENT#TOPIC	Private collections	subject	Event	Event
CONTENT#TOPIC	Private investigators	subject	Person	Person
CONTENT#TOPIC	Private investigators in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Private investigators, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Private schools	subject	Organization	Organization
CONTENT#TOPIC	Problem families	subject	Organization	Organization
CONTENT#TOPIC	Problems	subject	Situation	Situation
CONTENT#TOPIC	Problems, exercises	subject	Situation	Situation
CONTENT#TOPIC	Production and direction	subject	Event	Event
CONTENT#TOPIC	Professor Challenger (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Programmed instruction	subject	Event	Event
CONTENT#TOPIC	Promptbooks	subject	Abstract	Abstract
CONTENT#TOPIC	Proofs (Printing)	subject	Event	Event
CONTENT#TOPIC	Prostitutes -- Russia -- Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Prostitution	subject	Event	Event
CONTENT#TOPIC	Protestant churches	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Protestant work ethic	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Protestantism and capitalism	subject	Abstract	Abstract
CONTENT#TOPIC	Psychiatric hospital patients	subject	Person	Person
CONTENT#TOPIC	Psychoanalysis	subject	Abstract	Abstract
CONTENT#TOPIC	Psychological Horror	subject	Abstract	Abstract
CONTENT#TOPIC	Psychological fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Psychological, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Psychology	subject	Abstract	Abstract
CONTENT#TOPIC	Public libraries	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Public prosecutors	subject	Person	Person
CONTENT#TOPIC	Publishers and publishing	subject	Person	Person
CONTENT#TOPIC	Publishers' binding	subject	Person	Person
CONTENT#TOPIC	Pulitzer Prize Winner	subject	Person	Person
CONTENT#TOPIC	Purgatory	subject	Abstract	Abstract
CONTENT#TOPIC	Purgatory in literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Quentin Durward (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Questions and answers	subject	Event	Event
CONTENT#TOPIC	Quests	subject	Event	Event
CONTENT#TOPIC	Quests (Expeditions)	subject	Event	Event
CONTENT#TOPIC	Quill Award winner	subject	Person	Person
CONTENT#TOPIC	Rabbits, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Race relations	subject	Event	Event
CONTENT#TOPIC	Racially mixed people	subject	Person	Person
CONTENT#TOPIC	Racially mixed women	subject	Person	Person
CONTENT#TOPIC	Racism	subject	Abstract	Abstract
CONTENT#TOPIC	Raffles (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Raffles (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Railroad	subject	Organization	Organization
CONTENT#TOPIC	Railroad travel	subject	Event	Event
CONTENT#TOPIC	Railroads	subject	Abstract	Abstract
CONTENT#TOPIC	Rain and rainfall	subject	Event	Event
CONTENT#TOPIC	Rapists	subject	Person	Person
CONTENT#TOPIC	Reacher, Jack (Fictitious character)	subject	Person	Person
