ASPECT	VALUE	TYPE	DOLCE
CONTENT#TOPIC	Outlaws	subject	Person
CONTENT#TOPIC	Overland journey to the Pacific coast	subject	Event
CONTENT#TOPIC	Overland journeys to the Pacific	subject	Event
CONTENT#TOPIC	Overland journeys to the Pacific. [from old catalog]	subject	InformationEntity
CONTENT#TOPIC	Oversize books	subject	InformationEntity
CONTENT#TOPIC	Overtures	subject	InformationEntity
CONTENT#TOPIC	Oz (Imaginary place)	subject	Location
CONTENT#TOPIC	Oz (imaginary place), fiction	subject	Personification
CONTENT#TOPIC	Pacific Fur Co	subject	Organization
CONTENT#TOPIC	Pacific Fur Company	subject	Organization
CONTENT#TOPIC	Pageants	subject	Event
CONTENT#TOPIC	Painters	subject	Person
CONTENT#TOPIC	Painters and paintings	subject	Person
CONTENT#TOPIC	Painting	subject	Event
CONTENT#TOPIC	Pakistan, biography	subject	InformationEntity
CONTENT#TOPIC	Paradise in literature	subject	InformationEntity
CONTENT#TOPIC	Paranormal fiction	subject	InformationEntity
CONTENT#TOPIC	Paraphrases	subject	Event
CONTENT#TOPIC	Parent and adult child	subject	Relation
CONTENT#TOPIC	Parent and child	subject	Person
CONTENT#TOPIC	Parent and child, fiction	subject	InformationEntity
CONTENT#TOPIC	Parent-child relationship	subject	Person
CONTENT#TOPIC	Parenting	subject	Activity
CONTENT#TOPIC	Parkinson's disease	subject	SocialObject
CONTENT#TOPIC	Parties in fiction	subject	InformationEntity
CONTENT#TOPIC	Passing (Identity)	subject	Concept
CONTENT#TOPIC	Passivity (Psychology)	subject	Concept
CONTENT#TOPIC	Pastoral fiction	subject	InformationEntity
CONTENT#TOPIC	Pater, walter, 1839-1894	subject	Person
CONTENT#TOPIC	Peace	subject	Description
CONTENT#TOPIC	Pentheus (Greek mythology)	subject	InformationEntity
CONTENT#TOPIC	People with disabilities, fiction	subject	InformationEntity
CONTENT#TOPIC	People with visual disabilities, fiction	subject	InformationEntity
CONTENT#TOPIC	Perceval (Legendary character)	subject	InformationEntity
CONTENT#TOPIC	Perceval (Legendary character) -- Drama	subject	InformationEntity
CONTENT#TOPIC	Percy Jackson	subject	Personification
CONTENT#TOPIC	Percy Jackson (Fictitious character)	subject	Personification
CONTENT#TOPIC	Performing Arts	subject	Event
CONTENT#TOPIC	Persecutions	subject	Event
CONTENT#TOPIC	Persian language	subject	SocialObject
CONTENT#TOPIC	Persian literature	subject	InformationEntity
CONTENT#TOPIC	Persian poetry	subject	InformationEntity
CONTENT#TOPIC	Personal Finance	subject	Person
CONTENT#TOPIC	Personal narratives	subject	Person
CONTENT#TOPIC	Peter Pan (Fictitious character)	subject	Personification
CONTENT#TOPIC	Peter Rabbit (Fictitious character)	subject	Personification
CONTENT#TOPIC	Peter pan (fictitious character), fiction	subject	Personification
CONTENT#TOPIC	Phantom of the Opera (Fictitious character)	subject	Personification
CONTENT#TOPIC	Pharmaceutical industry	subject	Organization
CONTENT#TOPIC	Pharmacists	subject	Group
CONTENT#TOPIC	Philip Trent (Fictitious character)	subject	Personification
CONTENT#TOPIC	Philosophers	subject	Group
CONTENT#TOPIC	Philosophers, greece	subject	Event
CONTENT#TOPIC	Philosophical Novels	subject	InformationEntity
CONTENT#TOPIC	Philosophie	subject	Topic
CONTENT#TOPIC	Philosophy	subject	Topic
CONTENT#TOPIC	Philosophy and aesthetics	subject	Topic
CONTENT#TOPIC	Philosophy and esthetics	subject	InformationEntity
CONTENT#TOPIC	Philosophy and ethics	subject	InformationEntity
CONTENT#TOPIC	Philosophy and religion	subject	InformationEntity
CONTENT#TOPIC	Philosophy in fiction	subject	InformationEntity
CONTENT#TOPIC	Philosophy of Law	subject	Topic
CONTENT#TOPIC	Philosophy, ancient	subject	Topic
CONTENT#TOPIC	Philosophy, french	subject	Topic
CONTENT#TOPIC	Phoenix (Mythical bird)	subject	Personification
CONTENT#TOPIC	Phonetic transcriptions	subject	Person
CONTENT#TOPIC	Photographers	subject	Person
CONTENT#TOPIC	Physically handicapped, fiction	subject	InformationEntity
CONTENT#TOPIC	Physicians	subject	Person
CONTENT#TOPIC	Physicians in fiction	subject	InformationEntity
CONTENT#TOPIC	Physicians' spouses	subject	Person
CONTENT#TOPIC	Physicians's spouses	subject	Person
CONTENT#TOPIC	Physicians, fiction	subject	InformationEntity
CONTENT#TOPIC	Physicists	subject	Person
CONTENT#TOPIC	Physics	subject	Topic
CONTENT#TOPIC	Piano music (4 hands), Arranged	subject	Event
CONTENT#TOPIC	Pictorial works	subject	InformationEntity
CONTENT#TOPIC	Picture Books	subject	InformationEntity
CONTENT#TOPIC	Picture books	subject	InformationEntity
CONTENT#TOPIC	Picture books for children	subject	Topic
CONTENT#TOPIC	Pied Piper (Legendary character)	subject	InformationEntity
CONTENT#TOPIC	Pied Piper of Hamelin (Legendary character)	subject	InformationEntity
CONTENT#TOPIC	Pilgrims and pilgrimages in literature	subject	Topic
CONTENT#TOPIC	Pilots and pilotage	subject	Topic
CONTENT#TOPIC	Pioneers	subject	Group
CONTENT#TOPIC	Pittman, mrs. (fictitious character), fiction	subject	InformationEntity
CONTENT#TOPIC	Plague in fiction	subject	InformationEntity
CONTENT#TOPIC	Plague in literature	subject	InformationEntity
CONTENT#TOPIC	Planets	subject	PhysicalObject
CONTENT#TOPIC	Plantation life	subject	Organism
CONTENT#TOPIC	Plantation owners	subject	Person
CONTENT#TOPIC	Plataea, Battle of, Plataiai, Greece, 479 B.C.	subject	Event
CONTENT#TOPIC	Platonic love	subject	Event
CONTENT#TOPIC	Plays	subject	Person
CONTENT#TOPIC	Plays / Drama	subject	Event
CONTENT#TOPIC	Plum, stephanie (fictitious character), fiction	subject	Personification
CONTENT#TOPIC	Plutarch	subject	Person
CONTENT#TOPIC	Poetry	subject	InformationEntity
CONTENT#TOPIC	Poetry & poets: 16th to 18th centuries	subject	Person
CONTENT#TOPIC	Poetry (poetic works by one author)	subject	InformationEntity
CONTENT#TOPIC	Poetry, history and criticism	subject	InformationEntity
CONTENT#TOPIC	Poland -- History -- John II Casimir, 1648-1668 -- Fiction	subject	InformationEntity
CONTENT#TOPIC	Polar bears	subject	Organism
CONTENT#TOPIC	Police in fiction	subject	InformationEntity
CONTENT#TOPIC	Police, fiction	subject	InformationEntity
CONTENT#TOPIC	Polish language materials	subject	SocialObject
CONTENT#TOPIC	Political and social views	subject	SocialObject
CONTENT#TOPIC	Political corruption	subject	Event
CONTENT#TOPIC	Political ethics	subject	Topic
CONTENT#TOPIC	Political fiction	subject	InformationEntity
CONTENT#TOPIC	Political prisoners	subject	Person
CONTENT#TOPIC	Political rights	subject	Event
CONTENT#TOPIC	Political science	subject	Topic
CONTENT#TOPIC	Political science, early works to 1800	subject	Event
CONTENT#TOPIC	Political sciene	subject	Topic
CONTENT#TOPIC	Political theology	subject	Topic
CONTENT#TOPIC	Politicians	subject	Person
CONTENT#TOPIC	Politics	subject	Description
CONTENT#TOPIC	Politics and government	subject	Description
CONTENT#TOPIC	Politics in fiction	subject	InformationEntity
CONTENT#TOPIC	Pollution	subject	Event
CONTENT#TOPIC	Pompeii (extinct city), fiction	subject	InformationEntity
CONTENT#TOPIC	Poor	subject	Characteristic
CONTENT#TOPIC	Poor families	subject	Organization
CONTENT#TOPIC	Poor families, fiction	subject	InformationEntity
CONTENT#TOPIC	Pop-up books	subject	Event
CONTENT#TOPIC	Popular Culture	subject	SocialObject
CONTENT#TOPIC	Popular Print Disabled Books	subject	Person
CONTENT#TOPIC	Portuguese Fiction	subject	InformationEntity
CONTENT#TOPIC	Portuguese discoveries	topic	Event
CONTENT#TOPIC	Portuguese fiction	subject	InformationEntity
CONTENT#TOPIC	Poverty -- Psychological aspects	subject	Topic
CONTENT#TOPIC	Practical Geometry	subject	Event
CONTENT#TOPIC	Practice	subject	Event
CONTENT#TOPIC	Prayer-books and devotions	subject	Event
CONTENT#TOPIC	Prayers	subject	Event
CONTENT#TOPIC	Precious Ramotswe (Fictional character)	subject	Personification
CONTENT#TOPIC	Precious Ramotswe (Fictitious character)	subject	Personification
CONTENT#TOPIC	Pregnancy, fiction	subject	InformationEntity
CONTENT#TOPIC	Pregnant women	subject	Person
CONTENT#TOPIC	Prehistoric peoples	subject	Person
CONTENT#TOPIC	Preparatory schools	subject	Organization
CONTENT#TOPIC	Presbyterian Church	subject	Organization
CONTENT#TOPIC	Presbyterian Church in the U.S.	subject	Organization
CONTENT#TOPIC	Presidential candidates	subject	Person
CONTENT#TOPIC	Presidents' spouses, united states	subject	Person
CONTENT#TOPIC	Prince	subject	Person
CONTENT#TOPIC	Prince Edward Island in fiction	subject	InformationEntity
CONTENT#TOPIC	Prince edward island, fiction	subject	InformationEntity
CONTENT#TOPIC	Princes and princesses	subject	Group
CONTENT#TOPIC	Princes in literature	subject	InformationEntity
CONTENT#TOPIC	Princess Ozma (Fictitious character)	subject	Personification
CONTENT#TOPIC	Princesses in fiction	subject	Personification
CONTENT#TOPIC	Princesses, great britain	subject	Group
CONTENT#TOPIC	Printers	subject	Person
CONTENT#TOPIC	Printing	subject	Event
CONTENT#TOPIC	Printing and writing systems	subject	Event
CONTENT#TOPIC	Priory of Sion	subject	Organization
CONTENT#TOPIC	Prison Life in Fiction	subject	InformationEntity
CONTENT#TOPIC	Prisoners in fiction	subject	InformationEntity
CONTENT#TOPIC	Prisoners of war	subject	Person
CONTENT#TOPIC	Private collections	subject	Event
CONTENT#TOPIC	Private investigators	subject	Person
CONTENT#TOPIC	Private investigators in fiction	subject	InformationEntity
CONTENT#TOPIC	Private investigators, fiction	subject	InformationEntity
CONTENT#TOPIC	Private schools	subject	Organization
CONTENT#TOPIC	Problem families	subject	Organization
CONTENT#TOPIC	Problems	subject	SocialObject
CONTENT#TOPIC	Problems, exercises	subject	InformationEntity
CONTENT#TOPIC	Production and direction	subject	Event
CONTENT#TOPIC	Professor Challenger (Fictitious character)	subject	Personification
CONTENT#TOPIC	Programmed instruction	subject	Event
CONTENT#TOPIC	Promptbooks	subject	InformationEntity
CONTENT#TOPIC	Proofs (Printing)	subject	Event
CONTENT#TOPIC	Prostitutes -- Russia -- Fiction	subject	InformationEntity
CONTENT#TOPIC	Prostitution	subject	Event
CONTENT#TOPIC	Protestant churches	subject	PhysicalObject
CONTENT#TOPIC	Protestant work ethic	subject	InformationEntity
CONTENT#TOPIC	Protestantism and capitalism	subject	System
CONTENT#TOPIC	Psychiatric hospital patients	subject	Person
CONTENT#TOPIC	Psychoanalysis	subject	Topic
CONTENT#TOPIC	Psychological Horror	subject	Topic
CONTENT#TOPIC	Psychological fiction	subject	InformationEntity
CONTENT#TOPIC	Psychological, fiction	subject	InformationEntity
CONTENT#TOPIC	Psychology	subject	Topic
CONTENT#TOPIC	Public libraries	subject	PhysicalObject
CONTENT#TOPIC	Public prosecutors	subject	Person
CONTENT#TOPIC	Publishers and publishing	subject	Person
CONTENT#TOPIC	Publishers' binding	subject	Person
CONTENT#TOPIC	Pulitzer Prize Winner	subject	Person
CONTENT#TOPIC	Purgatory	subject	SocialObject
CONTENT#TOPIC	Purgatory in literature	subject	Topic
CONTENT#TOPIC	Quentin Durward (Fictitious character)	subject	Personification
CONTENT#TOPIC	Questions and answers	subject	Event
CONTENT#TOPIC	Quests	subject	Event
CONTENT#TOPIC	Quests (Expeditions)	subject	Event
CONTENT#TOPIC	Quill Award winner	subject	Person
CONTENT#TOPIC	Rabbits, fiction	subject	InformationEntity
CONTENT#TOPIC	Race relations	subject	Event
CONTENT#TOPIC	Racially mixed people	subject	Person
CONTENT#TOPIC	Racially mixed women	subject	Person
CONTENT#TOPIC	Racism	subject	SocialObject
CONTENT#TOPIC	Raffles (Fictitious character)	subject	Personification
CONTENT#TOPIC	Raffles (fictitious character), fiction	subject	Personification
CONTENT#TOPIC	Railroad	subject	Organization
CONTENT#TOPIC	Railroad travel	subject	Event
CONTENT#TOPIC	Railroads	subject	PhysicalObject
CONTENT#TOPIC	Rain and rainfall	subject	Event
CONTENT#TOPIC	Rapists	subject	Person
CONTENT#TOPIC	Reacher, Jack (Fictitious character)	subject	Personification
CONTENT#TOPIC	Reacher, jack (fictitious character), fiction	subject	Personification
CONTENT#TOPIC	Readers	subject	Topic
CONTENT#TOPIC	Readers in fiction	subject	Topic
CONTENT#TOPIC	Reading	subject	Event
CONTENT#TOPIC	Reading Group Guide	subject	Event
CONTENT#TOPIC	Reading Level-Grade 10	subject	
CONTENT#TOPIC	Reading Level-Grade 11	subject	
CONTENT#TOPIC	Reading Level-Grade 12	subject	
CONTENT#TOPIC	Reading Level-Grade 4	subject	
CONTENT#TOPIC	Reading Level-Grade 5	subject	
CONTENT#TOPIC	Reading Level-Grade 6	subject	
CONTENT#TOPIC	Reading Level-Grade 7	subject	
CONTENT#TOPIC	Reading Level-Grade 8	subject	
CONTENT#TOPIC	Reading Level-Grade 9	subject	
CONTENT#TOPIC	Reading comprehension	subject	Event
CONTENT#TOPIC	Reading list	subject	Event
CONTENT#TOPIC	Reading materials	subject	Event
CONTENT#TOPIC	Reason	subject	Concept
CONTENT#TOPIC	Recitations	subject	Event
CONTENT#TOPIC	Reconciliation	subject	Person
CONTENT#TOPIC	Reference	subject	Event
CONTENT#TOPIC	Reference, Information and Interdisciplinary Subjects	subject	Event
CONTENT#TOPIC	Refraction	subject	Event
CONTENT#TOPIC	Regression (Civilization)	subject	Event
CONTENT#TOPIC	Regret in fiction	subject	InformationEntity
CONTENT#TOPIC	Reincarnation	subject	Person
CONTENT#TOPIC	Rejection (Psychology)	subject	Event
CONTENT#TOPIC	Relationship Novel	subject	Event
CONTENT#TOPIC	Relativity (Physics)	subject	Description
CONTENT#TOPIC	Religion	subject	InformationEntity
CONTENT#TOPIC	Religion & Spirituality	subject	InformationEntity
CONTENT#TOPIC	Religion / Bible / General	subject	InformationEntity
CONTENT#TOPIC	Religion and politics	subject	InformationEntity
CONTENT#TOPIC	Religion and sociology	subject	InformationEntity
CONTENT#TOPIC	Religious Psychology	subject	Topic
CONTENT#TOPIC	Religious aspects	subject	Topic
CONTENT#TOPIC	Religious aspects of Evolution	subject	Event
CONTENT#TOPIC	Religious aspects of Folly	subject	Topic
CONTENT#TOPIC	Religious aspects of Love	subject	Event
CONTENT#TOPIC	Religious aspects of Science	subject	PhysicalObject
CONTENT#TOPIC	Religious aspects of Self-realization	subject	Event
CONTENT#TOPIC	Religious aspects of Success	subject	Event
CONTENT#TOPIC	Religious aspects of Truth	subject	PhysicalObject
CONTENT#TOPIC	Religious fundamentalism	subject	InformationEntity
CONTENT#TOPIC	Remarriage	subject	Relation
CONTENT#TOPIC	Remarried people	subject	Person
CONTENT#TOPIC	Repentance	subject	Concept
CONTENT#TOPIC	Report writing	subject	Event
CONTENT#TOPIC	Reporters and reporting	subject	Person
CONTENT#TOPIC	Representative government and representation	subject	Event
CONTENT#TOPIC	Research	subject	Event
CONTENT#TOPIC	Residence	subject	Event
CONTENT#TOPIC	Retellings	subject	Event
CONTENT#TOPIC	Retired military personnel	subject	Person
CONTENT#TOPIC	Retired teachers	subject	Person
CONTENT#TOPIC	Return of the native (Hardy	subject	Event
CONTENT#TOPIC	Returns from Troy	topic	Event
CONTENT#TOPIC	Revolutionaries	subject	Person
CONTENT#TOPIC	Revolutions	subject	Event
CONTENT#TOPIC	Revolutions in fiction	subject	InformationEntity
CONTENT#TOPIC	Rhesus (Legendary character)	subject	InformationEntity
CONTENT#TOPIC	Rhetoric, ancient	subject	Topic
CONTENT#TOPIC	Rich	subject	Person
CONTENT#TOPIC	Rich people	subject	Person
CONTENT#TOPIC	Richard Hannay (Fictitious character)	subject	Personification
CONTENT#TOPIC	Richard III of England	human	Person
CONTENT#TOPIC	Rites and ceremonies	subject	Person
CONTENT#TOPIC	River boats	subject	PhysicalObject
CONTENT#TOPIC	River life	subject	Event
CONTENT#TOPIC	Rizzoli, jane, detective (fictitious character), fiction	subject	Personification
CONTENT#TOPIC	Robbers and outlaws	subject	Person
CONTENT#TOPIC	Robert Langdon (Fictitious character)	subject	Personification
CONTENT#TOPIC	Rock music, discography	subject	InformationEntity
CONTENT#TOPIC	Rock musicians	subject	Group
CONTENT#TOPIC	Roland (Fictitious character : King)	subject	Personification
CONTENT#TOPIC	Roman Catholic Church	subject	Organization
CONTENT#TOPIC	Roman Empire	historical period	Person
CONTENT#TOPIC	Roman History	subject	Person
CONTENT#TOPIC	Roman Mythology	subject	Person
CONTENT#TOPIC	Roman Personal narratives	subject	Person
CONTENT#TOPIC	Roman Roman mythology	subject	Person
CONTENT#TOPIC	Roman a suspense	subject	SocialObject
CONTENT#TOPIC	Roman historique	subject	Person
CONTENT#TOPIC	Roman invasion of Britain	subject	Event
CONTENT#TOPIC	Roman romance	subject	Person
CONTENT#TOPIC	Roman suspens	subject	Person
CONTENT#TOPIC	Romance fiction	subject	InformationEntity
CONTENT#TOPIC	Romance literature	subject	InformationEntity
CONTENT#TOPIC	Romance-language fiction	subject	Topic
CONTENT#TOPIC	Romances, history and criticism	subject	Person
CONTENT#TOPIC	Romani language	subject	SocialObject
CONTENT#TOPIC	Romans, great britain	subject	Person
CONTENT#TOPIC	Rome (Italy)	subject	Location
CONTENT#TOPIC	Rome Civil War, 49-45 B.C.	subject	Event
CONTENT#TOPIC	Rome, biography	subject	InformationEntity
CONTENT#TOPIC	Rome, fiction	subject	InformationEntity
CONTENT#TOPIC	Rome, history, empire, 30 b.c.-476 a.d.	subject	TimeInterval
CONTENT#TOPIC	Rome, politics and government	subject	Event
CONTENT#TOPIC	Royal houses	subject	Location
CONTENT#TOPIC	Runaway husbands in fiction	subject	InformationEntity
CONTENT#TOPIC	Runaway teenagers in literature	subject	Topic
CONTENT#TOPIC	Rural conditions	subject	SocialObject
CONTENT#TOPIC	Ruritania (imaginary place), fiction	subject	InformationEntity
CONTENT#TOPIC	Russia (federation), fiction	subject	InformationEntity
CONTENT#TOPIC	Russia -- Social conditions -- 1801-1917 -- Fiction	subject	InformationEntity
CONTENT#TOPIC	Russia in fiction	subject	InformationEntity
CONTENT#TOPIC	Russian	subject	Characteristic
CONTENT#TOPIC	Russian & Former Soviet Union	subject	Organization
CONTENT#TOPIC	Russian Novel	subject	InformationEntity
CONTENT#TOPIC	Russian Short stories	subject	Event
CONTENT#TOPIC	Russian drama	subject	InformationEntity
CONTENT#TOPIC	Russian fiction	subject	InformationEntity
CONTENT#TOPIC	Russian language	subject	SocialObject
CONTENT#TOPIC	Russian language books	subject	Topic
CONTENT#TOPIC	Russian language edition	subject	InformationEntity
CONTENT#TOPIC	Russian literature	subject	InformationEntity
CONTENT#TOPIC	Ryan, Jack (Fictitious character) -- Fiction	subject	SocialObject
CONTENT#TOPIC	SCIENCE / General	subject	Topic
CONTENT#TOPIC	SCIENCE / Life Sciences / General	subject	TimeInterval
CONTENT#TOPIC	SCIENCE / Life Sciences / Zoology / General	subject	Topic
CONTENT#TOPIC	SCIENCE / Physics	subject	Topic
CONTENT#TOPIC	SCIENCE FICTION	subject	InformationEntity
CONTENT#TOPIC	SOCIAL SCIENCE	subject	SocialObject
CONTENT#TOPIC	Sacred books	subject	InformationEntity
CONTENT#TOPIC	Sailing, Single-handed	subject	Event
CONTENT#TOPIC	Sailors in fiction	subject	InformationEntity
CONTENT#TOPIC	Saint Bartholomew's Day, Massacre of, France, 1572	subject	Event
CONTENT#TOPIC	Salamis, Battle of, Greece, 480 B.C.	subject	Event
CONTENT#TOPIC	Sale Books	subject	Activity
CONTENT#TOPIC	Salem’s Lot	subject	Personification
CONTENT#TOPIC	Saltwater fishing	subject	Activity
CONTENT#TOPIC	Samuel Johnson	human	Person
CONTENT#TOPIC	Samuel Vimes (Fictitious character)	subject	Personification
CONTENT#TOPIC	Satire	subject	Topic
CONTENT#TOPIC	Satirical fiction	subject	InformationEntity
CONTENT#TOPIC	Sawyer, tom (fictitious character), fiction	subject	Personification
CONTENT#TOPIC	School	subject	Organization
CONTENT#TOPIC	School & Education	subject	Organization
CONTENT#TOPIC	School integration	subject	Organization
CONTENT#TOPIC	School shootings	subject	Organization
CONTENT#TOPIC	School stories	subject	SocialObject
CONTENT#TOPIC	Schools	subject	Organization
CONTENT#TOPIC	Schools -- Fiction	subject	InformationEntity
CONTENT#TOPIC	Schools in fiction	subject	InformationEntity
CONTENT#TOPIC	Schools, fiction	subject	InformationEntity
CONTENT#TOPIC	Schools--fiction	subject	InformationEntity
CONTENT#TOPIC	Science	subject	Topic
CONTENT#TOPIC	Science Fiction	subject	InformationEntity
CONTENT#TOPIC	Science Fiction & Fantasy	subject	InformationEntity
CONTENT#TOPIC	Science Fiction, Fantasy, & Magic	subject	InformationEntity
CONTENT#TOPIC	Science and civilization	subject	Collection
CONTENT#TOPIC	Science and state	subject	Topic
CONTENT#TOPIC	Science fiction	subject	InformationEntity
CONTENT#TOPIC	Science fiction, American	subject	InformationEntity
CONTENT#TOPIC	Science, miscellanea	subject	Event
CONTENT#TOPIC	Scientific expeditions	subject	Activity
CONTENT#TOPIC	Scientific socialism	subject	SocialObject
CONTENT#TOPIC	Scientists	subject	Person
CONTENT#TOPIC	Scientists, fiction	subject	InformationEntity
CONTENT#TOPIC	Scotland	subject	Location
CONTENT#TOPIC	Scotland Yard	subject	Location
CONTENT#TOPIC	Scotland in fiction	subject	InformationEntity
CONTENT#TOPIC	Scotland, fiction	subject	InformationEntity
CONTENT#TOPIC	Scots	subject	Event
CONTENT#TOPIC	Scottish Americans	subject	Person
CONTENT#TOPIC	Scottish Authors	subject	Person
CONTENT#TOPIC	Scottish Children’s Book Award winner	subject	SocialObject
CONTENT#TOPIC	Scottish Philosophy	subject	Topic
CONTENT#TOPIC	Scottish fiction	subject	InformationEntity
CONTENT#TOPIC	Screen play	subject	Organization
CONTENT#TOPIC	Scrooge, ebenezer (fictitious character), fiction	subject	Personification
CONTENT#TOPIC	Scythians	subject	Person
CONTENT#TOPIC	Sea poetry	subject	InformationEntity
CONTENT#TOPIC	Sea stories	subject	InformationEntity
CONTENT#TOPIC	Seafaring life	subject	Event
CONTENT#TOPIC	Sealers (Persons)	subject	Person
CONTENT#TOPIC	Sealing in fiction	subject	InformationEntity
CONTENT#TOPIC	Sealing ships	subject	Event
CONTENT#TOPIC	Sealing ships in fiction	subject	InformationEntity
CONTENT#TOPIC	Seattle (wash.), fiction	subject	InformationEntity
CONTENT#TOPIC	Second War World	subject	Event
CONTENT#TOPIC	Secret service	subject	Organization
CONTENT#TOPIC	Secret societies	subject	Organization
CONTENT#TOPIC	Secular life and customs	subject	Description
CONTENT#TOPIC	Seduction	subject	Event
CONTENT#TOPIC	Seduction, fiction	subject	InformationEntity
CONTENT#TOPIC	Selections, extracts	subject	Event
CONTENT#TOPIC	Self-Improvement	subject	Event
CONTENT#TOPIC	Self-acceptance	subject	Event
CONTENT#TOPIC	Self-actualization (Psychology)	subject	Event
CONTENT#TOPIC	Self-actualization (psychology)	subject	Event
CONTENT#TOPIC	Self-experimentation in medicine	subject	Person
CONTENT#TOPIC	Self-experimentation in medicine in fiction	subject	InformationEntity
CONTENT#TOPIC	Self-help techniques	subject	Event
CONTENT#TOPIC	Self-perception	subject	Event
CONTENT#TOPIC	Self-realization	subject	Event
CONTENT#TOPIC	Self-realization in women	subject	Person
CONTENT#TOPIC	Self-reliance	subject	Event
CONTENT#TOPIC	Semiotics	subject	Person
CONTENT#TOPIC	Separated people	subject	Person
CONTENT#TOPIC	Separated women	subject	Person
CONTENT#TOPIC	Separation (Psychology)	subject	Event
CONTENT#TOPIC	Serial killers	subject	Person
CONTENT#TOPIC	Serial murderers	subject	Person
CONTENT#TOPIC	Serial murders	subject	SocialObject
CONTENT#TOPIC	Serial murders, fiction	subject	InformationEntity
CONTENT#TOPIC	Series	subject	Collection
CONTENT#TOPIC	Seven Kingdoms (Imaginary place)	subject	Organization
CONTENT#TOPIC	Seven kingdoms (imaginary place), fiction	subject	InformationEntity
CONTENT#TOPIC	Seventeenth century	subject	TimeInterval
CONTENT#TOPIC	Seventh-Day Adventists	subject	Person
CONTENT#TOPIC	Sex customs	subject	Description
CONTENT#TOPIC	Sex role	subject	Activity
CONTENT#TOPIC	Sexual behavior	subject	Event
CONTENT#TOPIC	Sexual dominance and submission	subject	Event
CONTENT#TOPIC	Sexual dominance and submission, fiction	subject	InformationEntity
CONTENT#TOPIC	Sexual intercourse	subject	Activity
CONTENT#TOPIC	Shakespeare plays, texts	subject	Person
CONTENT#TOPIC	Shakespeare, William, 1564-1616	subject	Person
CONTENT#TOPIC	Shakespeare, William, 1564-1616. Henry IV	subject	Person
CONTENT#TOPIC	Shakespeare, William. Much ado about nothing	subject	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, adaptations	subject	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, coriolanus	subject	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, juvenile literature	subject	Topic
CONTENT#TOPIC	Shakespeare, william, 1564-1616, king henry iv	subject	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, king henry v	subject	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, king henry vi	subject	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, king henry viii	subject	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, love's labour's lost	subject	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, timon of athens	subject	Person
CONTENT#TOPIC	Shakespeare, william, 1564-1616, two gentlemen of verona	subject	Person
CONTENT#TOPIC	Shakespreare, William, 1564-1616. Henry VI	subject	Person
CONTENT#TOPIC	Shapeshifters	subject	Topic
CONTENT#TOPIC	Sharing, fiction	subject	InformationEntity
CONTENT#TOPIC	Ship captains	subject	Person
CONTENT#TOPIC	Ship captains in fiction	subject	InformationEntity
CONTENT#TOPIC	Shipwreck survival	subject	PhysicalObject
CONTENT#TOPIC	Shipwrecks	subject	PhysicalObject
CONTENT#TOPIC	Short Stories	subject	Event
CONTENT#TOPIC	Short stories	subject	Event
CONTENT#TOPIC	Short stories, french, translations into english	subject	Event
CONTENT#TOPIC	Short story	subject	Event
CONTENT#TOPIC	Shylock (Fictitious character)	subject	Personification
CONTENT#TOPIC	Siblings	subject	Person
CONTENT#TOPIC	Siblings, fiction	subject	InformationEntity
CONTENT#TOPIC	Sick children	subject	Group
CONTENT#TOPIC	Signs and symbols	subject	Event
CONTENT#TOPIC	Single parents	subject	Person
CONTENT#TOPIC	Single women	subject	Person
CONTENT#TOPIC	Single women, fiction	subject	InformationEntity
CONTENT#TOPIC	Single-handed sailing	subject	Event
CONTENT#TOPIC	Single-parent families, fiction	subject	InformationEntity
CONTENT#TOPIC	Sir Blakeney, Percy (Fictitious character)	subject	Personification
CONTENT#TOPIC	Sir Falstaff, John (Fictitious character)	subject	Personification
CONTENT#TOPIC	Sir Ivanhoe, Wilfred of (Fictitious character)	subject	Personification
CONTENT#TOPIC	Sir Walter Scott	subject	Person
CONTENT#TOPIC	Sisters	subject	Group
CONTENT#TOPIC	Sisters, fiction	subject	Personification
CONTENT#TOPIC	Slavery	subject	Event
CONTENT#TOPIC	Slavery & emancipation	subject	Person
CONTENT#TOPIC	Slaves	subject	Person
CONTENT#TOPIC	Slaves' writings, American	subject	Event
CONTENT#TOPIC	Slaves, fiction	subject	InformationEntity
CONTENT#TOPIC	Slaves, united states	subject	Person
CONTENT#TOPIC	Slaves, united states, social conditions	subject	Topic
CONTENT#TOPIC	Smith, patti, 1946-	subject	Person
CONTENT#TOPIC	Smoking	subject	Event
CONTENT#TOPIC	Snipers	subject	Person
CONTENT#TOPIC	Social Science / Penology	subject	Person
CONTENT#TOPIC	Social and moral questions	subject	Collection
CONTENT#TOPIC	Social change in fiction	subject	InformationEntity
CONTENT#TOPIC	Social classes	subject	Collection
CONTENT#TOPIC	Social classes, fiction	subject	InformationEntity
